issue_key,note,priority,updated_at
ODI-25230,"Add specific email addresses for the State of Colorado based on specific Busorg Id to have access to Swigert.",5,"2026-06-08 02:17:17"
ODI-25148,"Build in Matrix DB for metrics to generate reporting",9,"2026-06-08 02:16:53"
ODI-25003,"Dark Fiber - Develop data return for A/Z Locations and Dark Fiber assignments",0,"2026-06-08 02:16:20"
ODI-24837,"[Customer Inventory] When I need development to access customer inventory, I need a space to manage tasks to ensure timely deployment of initiatives.",7,"2026-06-08 02:15:55"
ODI-25486,"Dev to handle spoofing - detection handling classification.",6,"2026-06-08 02:15:29"
ODI-25457,"Test and start using the latest Laser API in NORA (it includes a new AI analysis)",4,"2026-06-08 02:14:35"
ODI-25533,"Create a standardize email reply when there is a mis match of the Busorg Id to the Service ID.",3,"2026-06-08 02:14:09"
ODI-25421,"Development for FTS (Field Technical Services) in Nora to mirror human ticketing process",2,"2026-06-08 02:11:53"
ODI-25576,"NORA did not return service data from the LASER diagnostics when customer requested ticket creation",0,"2026-06-08 02:11:02"
ODI-25578,"Potential Trouble case or add a note/attachment/escalation to it, NORA should change the case type to ""Customer Trouble"" and dispatch to the proper queue based on existing Ops Console routing rules.",1,"2026-06-08 02:09:47"
ODI-23957,"",0,"2026-06-08 01:23:22"
